velx,vely,velz,accx,accy,accz
2.520592,0.019870,0.817777,-0.564795,-0.004452,-0.183241
2.495636,0.019673,0.809681,-0.553666,-0.004365,-0.179631
2.470927,0.019478,0.801664,-0.542757,-0.004279,-0.176091
2.446462,0.019286,0.793727,-0.532062,-0.004194,-0.172622
2.422240,0.019095,0.785868,-0.521578,-0.004112,-0.169220
2.374747,0.018720,0.770460,-1.503581,-0.011853,-0.487820
2.316259,0.018259,0.751484,-0.953776,-0.007519,-0.309442
2.270619,0.017899,0.736677,-0.916560,-0.007225,-0.297368
2.225879,0.017547,0.722161,-0.880796,-0.006943,-0.285764
2.182020,0.017201,0.707932,-0.846428,-0.006672,-0.274614
2.139026,0.016862,0.693983,-0.813401,-0.006412,-0.263899
2.096879,0.016530,0.680308,-0.781662,-0.006162,-0.253601
2.035512,0.016046,0.660399,-1.472576,-0.011608,-0.477761
1.965673,0.015495,0.637740,-1.030183,-0.008121,-0.334231
1.907863,0.015040,0.618984,-0.970479,-0.007650,-0.314861
1.851753,0.014597,0.600780,-0.914235,-0.007207,-0.296613
1.788528,0.014099,0.580268,-1.136899,-0.008962,-0.368854
1.718741,0.013549,0.557626,-1.049908,-0.008276,-0.340631
1.643662,0.012957,0.533267,-1.199876,-0.009459,-0.389286
1.548864,0.012210,0.502511,-1.490466,-0.011749,-0.483565
1.444653,0.011388,0.468701,-1.296650,-0.010222,-0.420683
1.341016,0.010571,0.435077,-1.276264,-0.010061,-0.414069
1.232519,0.009716,0.399877,-1.212185,-0.009556,-0.393279
1.111111,0.008759,0.360487,-1.310790,-0.010333,-0.425271
0.967425,0.007626,0.313870,-1.329907,-0.010484,-0.431473
0.789621,0.006225,0.256184,-1.393357,-0.010984,-0.452059
0.487897,0.003846,0.158293,-1.456416,-0.011481,-0.472518
0.000000,0.000000,0.000000,-1.467198,-0.011566,-0.476016
0.000000,0.000000,0.000000,-1.440923,0.000000,0.000000
-0.465163,-0.164163,-0.065318,-1.497525,-0.528499,-0.210281
-0.757671,-0.267393,-0.106391,-1.429201,-0.504387,-0.200687
-0.933976,-0.329614,-0.131148,-1.483126,-0.523417,-0.208259
-1.078045,-0.380458,-0.151378,-1.368729,-0.483045,-0.192196
-1.196491,-0.422260,-0.168010,-1.299838,-0.458732,-0.182522
-1.308976,-0.461958,-0.183805,-1.509179,-0.532612,-0.211918
-1.408933,-0.497234,-0.197841,-1.180650,-0.416669,-0.165786
-1.487986,-0.525133,-0.208942,-1.097778,-0.387422,-0.154149
-1.563888,-0.551920,-0.219600,-1.212629,-0.427955,-0.170276
-1.635323,-0.577130,-0.229631,-1.061067,-0.374467,-0.148994
-1.710401,-0.603627,-0.240173,-1.450484,-0.511898,-0.203676
-1.779498,-0.628012,-0.249876,-0.942524,-0.332631,-0.132348
-1.833419,-0.647041,-0.257447,-1.000508,-0.353094,-0.140491
-1.888973,-0.666647,-0.265248,-1.062060,-0.374817,-0.149134
-1.936432,-0.683396,-0.271912,-0.744188,-0.262635,-0.104498
-1.975355,-0.697133,-0.277378,-0.774405,-0.273299,-0.108741
